PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,CH4,WKT,LON,LAT,CH4_BASELINE,PEAK_DIST_M,PEAK_CH4
CFADS2280_20131126_7907.294292,7907.294292,7907.294564,2.2056291497,POINT(-105.01395023 39.652945291),-105.01395023,39.652945291,2.08903586845,10.0833460935,0.972387856273
CFADS2280_20131126_7907.294292,7907.294292,7907.294703,2.2521476703,POINT(-105.01392712 39.652901618),-105.01392712,39.652901618,2.09051452615,15.3330208288,1.82090928949
CFADS2280_20131126_7907.294292,7907.294292,7907.294843,2.2881892523,POINT(-105.01390219 39.65285603),-105.01390219,39.65285603,2.09220864231,20.839344775,2.90004201526
CFADS2280_20131126_7907.294292,7907.294292,7907.294981,2.2864078637,POINT(-105.01387557 39.65280924),-105.01387557,39.65280924,2.09407161606,26.5257828754,3.99375018191
CFADS2280_20131126_7907.294292,7907.294292,7907.295117,2.241345428,POINT(-105.01384708 39.652762515),-105.01384708,39.652762515,2.09593117163,32.2718506049,4.82931034785
CFADS2280_20131126_7907.294292,7907.294292,7907.295256,2.1665935397,POINT(-105.01381506 39.652714444),-105.01381506,39.652714444,2.09758497369,38.2857980227,5.2443242352
CFADS2280_20131126_7907.319104,7907.319104,7907.319104,2.1219903339,POINT(-105.00902101 39.649549583),-105.00902101,39.649549583,2.12135593949,0.0,0.0
CFADS2280_20131126_7907.319104,7907.319104,7907.319242,2.1694321578,POINT(-105.00900859 39.649529723),-105.00900859,39.649529723,2.12241030446,2.45376225426,0.115380448841
CFADS2280_20131126_7907.319104,7907.319104,7907.31938,2.2096208481,POINT(-105.00899965 39.649515724),-105.00899965,39.649515724,2.12368428976,4.1903314181,0.264615226095
CFADS2280_20131126_7907.319104,7907.319104,7907.319518,2.2289600301,POINT(-105.0089911 39.64950235),-105.0089911,39.64950235,2.12514686532,5.8497153633,0.436881125035
CFADS2280_20131126_7907.319104,7907.319104,7907.319652,2.2337180897,POINT(-105.00898521 39.649493073),-105.00898521,39.649493073,2.12669954819,6.99922290694,0.559899745809
CFADS2280_20131126_7907.319104,7907.319104,7907.319785,2.2413292987,POINT(-105.0089795 39.649484077),-105.0089795,39.649484077,2.12827595607,8.11385201174,0.685912291897
CFADS2280_20131126_7907.319104,7907.319104,7907.319921,2.2714028861,POINT(-105.00897574 39.64947836),-105.00897574,39.64947836,2.12988892739,8.82721591522,0.786863241877
CFADS2280_20131126_7907.319104,7907.319104,7907.320058,2.3381184816,POINT(-105.00897194 39.649472589),-105.00897194,39.649472589,2.13163948408,9.54749166682,0.935585057002
CFADS2280_20131126_7907.319104,7907.319104,7907.320197,2.4283932294,POINT(-105.00896653 39.649466102),-105.00896653,39.649466102,2.13369557796,10.4056846489,1.18849251331
CFADS2280_20131126_7907.319104,7907.319104,7907.320336,2.5164918728,POINT(-105.00896096 39.649459554),-105.00896096,39.649459554,2.13616314709,11.2770371081,1.51989288377
CFADS2280_20131126_7907.319104,7907.319104,7907.320471,2.5942183261,POINT(-105.00894657 39.649451766),-105.00894657,39.649451766,2.13903093087,12.7846477736,2.2061382556
CFADS2280_20131126_7907.319104,7907.319104,7907.320606,2.6700214415,POINT(-105.0089321 39.649443929),-105.0089321,39.649443929,2.14224999964,14.3010051744,3.00642838738
CFADS2280_20131126_7907.319104,7907.319104,7907.320742,2.7379116609,POINT(-105.00890976 39.649446497),-105.00890976,39.649446497,2.14581398939,16.2370371462,4.15274840988
CFADS2280_20131126_7907.319104,7907.319104,7907.320878,2.7739328959,POINT(-105.00888668 39.649449934),-105.00888668,39.649449934,2.14968585178,18.2519342072,5.41054194439
CFADS2280_20131126_7907.319104,7907.319104,7907.321012,2.7358699746,POINT(-105.00887446 39.649466631),-105.00887446,39.649466631,2.15372499782,20.3854404961,6.65255191339
CFADS2280_20131126_7907.319104,7907.319104,7907.321155,2.6184607963,POINT(-105.00886303 39.649486172),-105.00886303,39.649486172,2.15759028287,22.7711755016,7.7520668303
CFADS2280_20131126_7907.319104,7907.319104,7907.32129,2.4877180439,POINT(-105.00887331 39.649510794),-105.00887331,39.649510794,2.16092369518,25.6502392279,8.69292858567
CFADS2280_20131126_7907.319104,7907.319104,7907.321427,2.3927803095,POINT(-105.00888681 39.649536647),-105.00888681,39.649536647,2.16366389099,28.7520977344,9.4036152974
CFADS2280_20131126_7907.319104,7907.319104,7907.32156,2.3427102852,POINT(-105.00890755 39.64956484),-105.00890755,39.64956484,2.16597348089,32.3590244604,10.0410920003
CFADS2280_20131126_7907.319104,7907.319104,7907.321694,2.3091716549,POINT(-105.00893001 39.6495939),-105.00893001,39.6495939,2.16805670569,36.1234527111,10.5723091017
CFADS2280_20131126_7907.319104,7907.319104,7907.321832,2.2727406466,POINT(-105.00895501 39.64962927),-105.00895501,39.64962927,2.16998390986,40.6061513715,11.0329365879
CFADS2280_20131126_7907.319104,7907.319104,7907.321968,2.2357132459,POINT(-105.0089803 39.649665916),-105.0089803,39.649665916,2.17174142097,45.2257256855,11.3284591871
CFADS2280_20131126_7907.319104,7907.319104,7907.322103,2.2018389661,POINT(-105.00900646 39.649705862),-105.00900646,39.649705862,2.17331983879,50.2058316905,11.4704874643
CFADS2280_20131126_7907.329912,7907.329912,7907.329912,2.1702948258,POINT(-105.0095306 39.651982684),-105.0095306,39.651982684,2.16798162127,0.0,0.0
CFADS2280_20131126_7907.329912,7907.329912,7907.330047,2.7462505751,POINT(-105.00945341 39.651977986),-105.00945341,39.651977986,2.16856179857,6.6365199948,3.83384311625
CFADS2280_20131126_7907.329912,7907.329912,7907.330186,3.1987923394,POINT(-105.00937322 39.651971143),-105.00937322,39.651971143,2.17199746307,13.5516150297,10.9342272674
CFADS2280_20131126_7907.329912,7907.329912,7907.330331,3.2497941746,POINT(-105.00928942 39.651963849),-105.00928942,39.651963849,2.17768137302,20.7797853126,18.6836411597
CFADS2280_20131126_7907.329912,7907.329912,7907.330464,2.8863281645,POINT(-105.00921379 39.651955444),-105.00921379,39.651955444,2.18802848465,27.3291406191,23.2570538734
CFADS2280_20131126_7907.329912,7907.329912,7907.3306,2.4880843587,POINT(-105.00913679 39.651946835),-105.00913679,39.651946835,2.20016325692,33.9979604578,25.177147829
CFADS2280_20131126_7907.329912,7907.329912,7907.330744,2.220166701,POINT(-105.00905554 39.651936557),-105.00905554,39.651936557,2.20495094151,41.0551892439,25.2845289249
CFADS2280_20131126_7907.455551,7907.455551,7907.455551,2.1127610771,POINT(-105.01079255 39.654471539),-105.01079255,39.654471539,2.0966422927,0.0,0.0
CFADS2280_20131126_7907.455551,7907.455551,7907.455691,2.2066687832,POINT(-105.01072294 39.654470618),-105.01072294,39.654470618,2.09764668352,5.96687270992,0.650520991368
CFADS2280_20131126_7907.455551,7907.455551,7907.455827,2.2691230582,POINT(-105.01065469 39.654469718),-105.01065469,39.654469718,2.09907430641,11.8171624398,1.64535545755
CFADS2280_20131126_7907.455551,7907.455551,7907.455966,2.2852366952,POINT(-105.01058453 39.654468452),-105.01058453,39.654468452,2.100779763,17.8319440151,2.75482361475
CFADS2280_20131126_7907.455551,7907.455551,7907.456108,2.2649658925,POINT(-105.01051166 39.654466885),-105.01051166,39.654466885,2.10255377847,24.0797732189,3.76954676383
CFADS2280_20131126_7907.455551,7907.455551,7907.456251,2.2114890915,POINT(-105.01044057 39.654464895),-105.01044057,39.654464895,2.10423648367,30.1766362263,4.42345122095
CFADS2280_20131126_7907.455551,7907.455551,7907.456389,2.1426201863,POINT(-105.0103727 39.654462745),-105.0103727,39.654462745,2.10567178703,35.9984220956,4.63855688971
CFADS2280_20131126_7908.305262,7908.305262,7908.305262,2.2381441158,POINT(-105.01347166 39.652522653),-105.01347166,39.652522653,2.07650896836,0.0,0.0
CFADS2280_20131126_7908.305262,7908.305262,7908.305401,2.406514164,POINT(-105.01351974 39.65256307),-105.01351974,39.65256307,2.07812100137,6.10118056582,2.00358598178
CFADS2280_20131126_7908.305262,7908.305262,7908.30554,2.5005994292,POINT(-105.01356473 39.652603237),-105.01356473,39.652603237,2.08050638805,12.005598429,4.48399083818
CFADS2280_20131126_7908.305262,7908.305262,7908.305677,2.4916510796,POINT(-105.01360622 39.652642349),-105.01360622,39.652642349,2.0833239361,17.6271825166,6.77943621062
CFADS2280_20131126_7908.305262,7908.305262,7908.305812,2.411018589,POINT(-105.01364329 39.652679083),-105.01364329,39.652679083,2.08610234799,22.8056356577,8.46199973947
CFADS2280_20131126_7908.305262,7908.305262,7908.305955,2.2861699356,POINT(-105.01367862 39.652716014),-105.01367862,39.652716014,2.08851426986,27.9115925234,9.47122104301
CFADS2280_20131126_7908.305262,7908.305262,7908.306093,2.1645023041,POINT(-105.01370911 39.652749543),-105.01370911,39.652749543,2.09035263381,32.4679251682,9.80907160636
CFADS2280_20131126_7908.388573,7908.388573,7908.388573,2.2218145092,POINT(-105.02424361 39.639166372),-105.02424361,39.639166372,2.11593606313,0.0,0.0
CFADS2280_20131126_7908.388573,7908.388573,7908.388713,2.3264629047,POINT(-105.02418366 39.639170881),-105.02418366,39.639170881,2.11743615707,5.16366318651,1.07934372176
CFADS2280_20131126_7908.388573,7908.388573,7908.388857,2.3661630786,POINT(-105.02412117 39.639176388),-105.02412117,39.639176388,2.11943206087,10.5555767441,2.40969604132
CFADS2280_20131126_7908.388573,7908.388573,7908.388994,2.3215315079,POINT(-105.02406111 39.639182658),-105.02406111,39.639182658,2.12161719673,15.7513101103,3.44839749829
CFADS2280_20131126_7908.388573,7908.388573,7908.389131,2.2438923148,POINT(-105.02400171 39.639189056),-105.02400171,39.639189056,2.12359949971,20.8929374379,4.06689832365
CFADS2280_20131126_7908.388573,7908.388573,7908.389277,2.1886267341,POINT(-105.02393809 39.639196184),-105.02393809,39.639196184,2.1252250983,26.4041761449,4.41631987295
CFADS2280_20131126_7908.388573,7908.388573,7908.389416,2.1666469667,POINT(-105.0238796 39.639203467),-105.0238796,39.639203467,2.1265963573,31.4833480104,4.61974380143
CFADS2280_20131126_7908.388573,7908.388573,7908.389553,2.1811402553,POINT(-105.02382309 39.639211304),-105.02382309,39.639211304,2.12786462936,36.4055906022,4.88197935652
CFADS2280_20131126_7908.388573,7908.388573,7908.389695,2.2594305545,POINT(-105.02376741 39.639218821),-105.02376741,39.639218821,2.12919928382,41.2515458339,5.51307426399
CFADS2280_20131126_7908.388573,7908.388573,7908.389833,2.3679600212,POINT(-105.02371616 39.639225517),-105.02371616,39.639225517,2.1308973615,45.7077295001,6.569469016
CFADS2280_20131126_7908.388573,7908.388573,7908.389969,2.4555771169,POINT(-105.0236701 39.63923158),-105.0236701,39.63923158,2.13309719627,49.7134854283,7.86124486981
CFADS2280_20131126_7908.388573,7908.388573,7908.390102,2.4615858759,POINT(-105.02362969 39.639236951),-105.02362969,39.639236951,2.13569881215,53.2288454282,9.00685521821
CFADS2280_20131126_7908.388573,7908.388573,7908.390237,2.4011047993,POINT(-105.02359427 39.639241743),-105.02359427,39.639241743,2.13833183111,56.311722196,9.81695189705
CFADS2280_20131126_7908.388573,7908.388573,7908.390376,2.3152228037,POINT(-105.02356566 39.639245759),-105.02356566,39.639245759,2.14068384149,58.8047221174,10.2520775161
CFADS2280_20131126_7908.388573,7908.388573,7908.390515,2.2470851361,POINT(-105.02354332 39.639248893),-105.02354332,39.639248893,2.14263903946,60.7513332367,10.4553934492
CFADS2280_20131126_7908.388573,7908.388573,7908.390651,2.2094822361,POINT(-105.0235305 39.639250689),-105.0235305,39.639250689,2.14427363169,61.8683633418,10.5282334234
CFADS2280_20131126_7908.388573,7908.388573,7908.390785,2.1909695024,POINT(-105.02352148 39.63925189),-105.02352148,39.63925189,2.14572764061,62.6530743061,10.5637352084
CFADS2280_20131126_7908.388573,7908.388573,7908.390921,2.1869754831,POINT(-105.02351904 39.639252053),-105.02351904,39.639252053,2.14709065123,62.8630284406,10.5721091938
CFADS2280_20131126_7908.388573,7908.388573,7908.391061,2.2154332839,POINT(-105.02351525 39.639252464),-105.02351525,39.639252464,2.14843063807,63.1911311767,10.5940929452
CFADS2280_20131126_7908.388573,7908.388573,7908.391206,2.2861223591,POINT(-105.02350854 39.639253422),-105.02350854,39.639253422,2.14990353022,63.7761471504,10.673783136
CFADS2280_20131126_7908.388573,7908.388573,7908.391347,2.3633834044,POINT(-105.0234974 39.6392572),-105.0234974,39.6392572,2.151703766,64.8196281097,10.8946668082
CFADS2280_20131126_7908.388573,7908.388573,7908.391487,2.393477951,POINT(-105.02347867 39.639265633),-105.02347867,39.639265633,2.15386201901,66.6795489276,11.3403334684
CFADS2280_20131126_7908.388573,7908.388573,7908.391633,2.3488790129,POINT(-105.02346024 39.639279175),-105.02346024,39.639279175,2.15616384937,68.8632722213,11.76117006
CFADS2280_20131126_7908.388573,7908.388573,7908.39177,2.2757089587,POINT(-105.02344396 39.639298271),-105.02344396,39.639298271,2.15826540128,71.4062179983,12.0598226584
CFADS2280_20131126_7908.388573,7908.388573,7908.391908,2.2148465803,POINT(-105.02343092 39.639318547),-105.02343092,39.639318547,2.16003721646,73.9249857749,12.1978747179
CFADS2280_20131126_7908.388573,7908.388573,7908.392046,2.1876051734,POINT(-105.02342222 39.639340332),-105.02342222,39.639340332,2.16153725246,76.4621800234,12.264014097
CFADS2280_20131126_7908.388573,7908.388573,7908.392183,2.1838034145,POINT(-105.02341572 39.639362763),-105.02341572,39.639362763,2.16291902998,79.0206123157,12.3174453807
CFADS2280_20131126_7908.388573,7908.388573,7908.392318,2.191541168,POINT(-105.02341222 39.63938635),-105.02341222,39.63938635,2.16428428338,81.6634016198,12.3894795839
CFADS2280_20131126_7908.388573,7908.388573,7908.392454,2.2079790291,POINT(-105.02340836 39.639411089),-105.02340836,39.639411089,2.16568781342,84.4371526804,12.5067848882
CFADS2280_20131126_7908.388573,7908.388573,7908.39259,2.2277647188,POINT(-105.02340387 39.639437794),-105.02340387,39.639437794,2.16716744621,87.4347647608,12.6884320046
CFADS2280_20131126_7908.388573,7908.388573,7908.392731,2.2440344325,POINT(-105.02339881 39.639465807),-105.02339881,39.639465807,2.16873480046,90.5831927691,12.9255074751
CFADS2280_20131126_7908.388573,7908.388573,7908.392868,2.2562092957,POINT(-105.02339315 39.639493687),-105.02339315,39.639493687,2.17037848358,93.7244895421,13.1951275282
CFADS2280_20131126_7908.388573,7908.388573,7908.393003,2.282132046,POINT(-105.0233882 39.639521252),-105.0233882,39.639521252,2.17207702146,96.822223598,13.5360487257
CFADS2280_20131126_7908.388573,7908.388573,7908.393147,2.3296902713,POINT(-105.0233844 39.639550749),-105.0233844,39.639550749,2.17389782019,100.121945439,14.0501204793
CFADS2280_20131126_7908.388573,7908.388573,7908.393285,2.3772424865,POINT(-105.02338126 39.639579505),-105.02338126,39.639579505,2.17593743479,103.334357699,14.6967952955
CFADS2280_20131126_7908.388573,7908.388573,7908.393423,2.3973329938,POINT(-105.02337911 39.639609302),-105.02337911,39.639609302,2.17819456461,106.656473289,15.4247984874
